SNo,Brief Description of the grievance,Category,Label
2467,ज्याठा पुरानो कर कार्यालय नजिक लोकल रेष्टुरेन्ट हरुले वेथिति संग होहल्ला गरेर वाजा वजाएर टोलमा वस्नै नसकीने गरी आतंक फैलायकोछ कारवाही गर्नु पर्‍यो ।,नगर प्रहरी,genuine
2468,Kalanki ma bhayeko futpath wala le din dawdai. Ktm bata bahira jane gadi ma.. gunasthar hin gudpak pustakari pani. Bechera ktm ma ghar samma banayeka xan vanda napataunu hola.. hami pratakshya dekhne manxe ho.. ahile pani hajarau indian nepali paryatak lai thagi garirako xan.. 60 ko khana namilne pustakari 260 300 samma bechirako xan. 800% Samma faida liyera bechera hideko kina dekhnu hunna?? Turunta mahanagar prahari khataipau.. ,नगर प्रहरी,genuine
2469,The street sign is too high. I can't read it from my car. Please lower it.,Public Infrastructure,not_genuine
2470,सोह्रखुट्टे देखि मैतिदेवि जाने बाटो कुमारि क्लब नपुग्दै नया घर निर्माण गर्दैछ जसले निर्माण सामाग्रि बाटोमा राखेर बाटो नै अवरोध भयो। निर्माण सामाग्रि हटाइदिनुहुन अनुरोध छ।,नगर प्रहरी,genuine
2471,हामि प्राय बालाजु पुलनेर बाट नया बसपार्क जाने बाटो प्रयोग गरिरहन्छौ जहाँ बिहानको समयमा विशेषत ९ बजे तिर सङ्कलित फोहोर बाटो र खोलाको बिचमा रहेको सानो खाली ठाउँमा राखेर sorting गरिरहेको देखिन्छ । यसरी खुल्ला ठाउँमा फोहोर राखेर sorting गर्दा एक त त्यो area दुर्गन्धित हुन्छ अर्को फोहोरको केहि हिस्सा खोलामानै गएको देखिन्छ साथै बाटोमा पनि छरपस्ट फोहोर देख्दा सार्है नराम्रो लाग्छ। के यो महानगरकै अधिनमा रहेर गरेको कार्य हो कि के होला?? यसलाइ केही ब्यवस्थापन गर्न सके धेरै राम्रो हुने थियो। ,वातावरण,genuine
2472,टेकु अस्पताल अगाडि ढल फुटेर रोडमा ढल फैलिएको छ। ताकेता,वातावरण,genuine
2473,"इन्द्रचोकबाट जुजु धौ गल्लि जाने बाटोको मुखमै ४, ५ जना व्यक्ति झोलामा सामान ल्याइ बस्ने गर्छन जसले गर्दा गल्लि जाने बाटो नै ब्लक भै व्यापार नै हुन पाएन भनि गुनासो आएको हुदाँ फुटपाथ व्यापारि हटाइदिनुहुन अनुरोध छ।",नगर प्रहरी,genuine
2474,The crops are getting sunburnt. Can you provide them with tiny sun hats?,Agriculture and Livestock,not_genuine
2475,"Respect Mayor Sir, 
I am a student doing master in computer science in TU. I am writing this letter to you to divert your thought towards the climate change matter as everyday it is getting hotter and hotter. As per my research the world climate will rise by 2 C by 2050 if we committed towards decreasing the green house emission.
Whenever i go around the cities i find most of the old vehicles emitting a lot of smoke and carbon particles which are the major threat of climate change. So please publish a notice or check the vehicles with smoke emitter scale to minimise this effect. 
I am very much fond of your work and thank you for inspiring us youth to develop our mother nation as its our job to keep her green and healthy",वातावरण,genuine
2476,कामपा ३२ वडा तिनकुने खोला छेउमा रहेको नन्दु वर्कशपले बाइक वास गरेको पानी फुटपाथ तथा बाटोमा जम्मा भएर  हिलाे भई हिँड्नै गाह्रो भयो भन्ने गुनासो आएको छ । ,नगर प्रहरी,genuine
2477,Mero kukhura le anda dine time ma tiktok banaudaina. Tyo time ma tiktok banaune byawastha gardinu paryo.,Agriculture and Livestock,not_genuine
2478,चाबेल पुष्पलाल मेमोरियल भन्दा अगाडि तरकारि बजारमा धुवाको मुस्लो आउने गरि आगो बालेको धेरै भयो जसले वायु प्रदुषण भइ श्वास फेर्नै गाह्रो भयो।यो रोकिदिनुहुन अनुरोध छ।,नगर प्रहरी,genuine
2479,"बौद्ध स्थित उत्पला क्याफे ले हरेक हप्ता शनिबार, बस्न नसक्ने गरि चर्को आवाजमा सांगीतिक कार्यक्रमको रुपमा बरिपरीको घरहरुलाई अतिनै ध्वनी प्रदुषण गर्दै आएको छ। पटकपटक पटक यो कुरा भन्दा पनि क्याफे र गुम्बाले अझै चर्को आवाजको कार्यक्रम गर्न छोडेको छैन। कृपया को यो  रोकियोस। ",नगर प्रहरी,genuine
2480,वडा नं. १४ कलंकीको मातादेवि पेट्रोल पम्प नजिकै एउटा गाइको बाछा विगत ३ दिन देखि त्यही बाटोमा अलपत्र परेर बसेको हुनाले रेस्कुयु गरिदिनु हुन अनुरोध।,नगर प्रहरी,genuine
2481,My chickens are not laying golden eggs. Please consult with a specialist.,Agriculture and Livestock,not_genuine
2482,सोयमभू भगवानपाउमा रहेको ईश्र्वर प्रथामिकविद्यालय भवन वाटोमा परेकोछ अन्यत्र किन नसारेकोहो सार्नु पर्‍यो ।,शिक्षा,genuine
2483,माइतिघरबाट थापाथलि जाने बाटाेमा डाेरी राखे बाटाे ब्लक गरेकाे छ साना साना बालबालिकादेखि अरु हामि सबैलाइ हिडडुल गर्न सारै गाराे भयाे हटाइदिनुपर्याे । ,नगर प्रहरी,genuine
2484,Teacher le malai dherai homework dinuhuncha. Homework kam garna lagaunu paryo.,Education,not_genuine
2485,मेरो श्रीमान्ले मलाई खाना बनाउन लगाउनुहुन्छ। यसमा रोक लगाइदिनुपर्‍यो।,Nagar Prahari,not_genuine
2486,कान्ति हस्पिटल मनमाेहन कार्डियाे पछाडि कुकुर लुताे आएर गन्ह्याएर मर्न लागेकाे छ उपचार गरि उद्धार गरिदिनुपर्याे । ,कृषि तथा पशुपंक्षी,genuine
2487,१६ वडा  गणेश मन्दिर ओरालाेमा रहेकाे शुभलक्ष्मी व्याण्ड बाजा पसलम हाइलाइन कम्पनिकाे जार ल्याउदा जार भित्र किरा भेटियाे अनुगमन गरी कारबाहि गर्नुपर्याे भन्ने गुनासाे आएकाे छ । ,कृषि तथा पशुपंक्षी,genuine
2488, १४ वडामा रहेकाे बल्खु वर्नहार्ड कलेजले स्कलरसिपमा पढेकाे विध्यार्थिलाइ १२००० रुपैया लियाे  तुरुन्त अनुगमन गरिनुपर्याे ।,शिक्षा,genuine
2489,My daughter wants to be a princess. Can the school arrange for a princess costume and a crown during school hours?,Education,not_genuine
2490,Mero chhora le school ma sathi banauna sakeko chaina. Sathi banaune tutorial dinu paryo.,Education,not_genuine
2491,मेरो छोरालाई स्कुलमा गणितमा राम्रो गर्दैन। उसलाई गणितको सट्टामा चित्रकला सिकाउनुपर्छ।,Education,not_genuine
2492,Mero ghar ko Wi-Fi chaldaina. Bato ko tar le garda ho ki? Check garidinu paryo.,Public Infrastructure,not_genuine
2493,"स्कुलमा बिहान बिहान व्यायाम गराउँछन्। मलाई अल्छी लाग्छ, यसलाई रोक्नुपर्छ।",Education,not_genuine
2494,My son wants a slide from his classroom directly to the playground. Please build it.,Education,not_genuine
2495,जंगलमा जनावरहरू धेरै बस्छन्। तिनीहरूलाई जनसंख्या नियन्त्रण गर्नुपर्छ।,Environment,not_genuine
2496,The street lights are attracting too many moths. Can you replace them with lights that only repel moths?,Public Infrastructure,not_genuine
2497,१६ वडा सोह्रखुट्टे चोक मैजु मन्दिर जाने बाटो (बहती पोखरी) जाने बाटोमा ढल राख्नको लागि खनेको बाटो अव्यवस्थित भए तुरुन्त यसको उचित व्यवस्थापनको लागि अनुरोध गर्दछु ।,सार्वजनिक निरमाण,genuine
2498,"तपाई छात्रबृती को कुरा गर्नुहुन्छ , तर स्कुलहरु ले दिदैनन , गत बर्श मेरो छोरा छोरी ले नि पाए माहनगर को कोटा को छात्रबृती तर स्कुल ले कम्प्युटर फी बापत रु३००० प्रती महिना तिर्नु पर्यो 5500 Fee भएको स्कुल मा 3000 Computer fee लिन कत्ती को सुहाउने हो ? , तपाईं को माहनगर को शिक्षा बिभाग मा मौखिक उजुरी नि गरे तर उल्टै गाली खानु पर्‍यो, यदी आवश्यक परे मा मा सप्रमाण पेस गर्न तयार जो  छु । नोट  : यो समस्या सिफल  स्थित Texas international school स्थित को हो । ",शिक्षा,genuine
2499,बागबजार श्रेष्ठ ट्रेलरिङ्ग नजिक १ टिपर बालुवा राखेर हिड्न सारै गाह्रो भयो। बालुवा हटाइदिनुहुन अनुरोध छ।,नगर प्रहरी,genuine
2500,Mero ghar ko bato ma goli hane jasto awaj aayo. Yo awaj lai rokna paryo.,Public Infrastructure,not_genuine
2501,गौरिशकंर मार्ग पारिजात सडकमा तार बाधेर काटेर लगेर पोल ढल्न लागेको छ। त्यसको व्यवस्थापन गरिदिनु पर्यो।,नगर प्रहरी,genuine
2502,रिपुमर्दिनि आवाशिय सैनिक महाविधालयले छात्रवृत्तीको विधार्थिलाई भर्न लिन मानेन ।,शिक्षा,genuine
2503,७ वडा मित्रपार्कबाट सिफल जाने बाटाेमा मापदण्ड विपरित टहरा बनाएर भाडा खाइरहेका हटाउनुपर्याे । ,नगर प्रहरी,genuine
2504,सामाखुसि गल्खुपाखाबाट बागमति ड्राभिङ्ग सेन्टर जाने बाटोमा रहेको खोलाको कर्नर नजिक नया काठ उधोग खोलेको छ जस्ले आवाज निकालेर वरिपरिका घरहरुलाइ समस्या सिर्जना गर्यो।  ध्वनि प्रदुषण नियन्त्रण गरिदिनुहुन अनुरोध छ।,नगर प्रहरी,genuine
2505,मेरो छिमेकीले धेरै फुल रोप्छन्। यसले गर्दा मेरो घरमा किरा आउँछ।,Nagar Prahari,not_genuine
2506,कंलकि सितापाइला जानेबाटोमा ५०  भन्दा बढि डोजर तथा JCB फुटपाथ मा सधैजसो राख्ने गरेको छन। यसको व्यवस्थापन गरिदिनु हुन अनुरोध छ।,नगर प्रहरी,genuine
2507,रञ्जना गल्ली भित्र प्युखा चोकमा ट्याक्सी र भ्यान रोकेर पार्किङ गरेर धेरै डिष्टर्ब गरिराखेको छ । तुरुन्तै हटाइदिनुपर्यो ।,नगर प्रहरी,genuine
2508,ताम्राकार वरिपरि पार्किङ्ग शुल्क उठाउनेहरुले दादागिरि गर्ने गरेको छ। पार्किङ्ग हटाइदिनुहुन अनुरोध छ।,नगर प्रहरी,genuine
2509, १६ वडा साेह्यखुट्टे देखि बालाजु चाेक पुलिस विट सम्म धुलाे उडेर बस्न नसकिने भयाे बुम्रर चलाइलिनुपर्याे भन्ने गुनासाे आएकाे छ ,वातावरण,genuine
2510,दरबारमार्गको पार्किङ्गमा २० मिनेट गाडि पार्किङ्ग गरेको रु ५० लिएर रसिद दियो तर त्यो रसिदमा का.म.पा कार्यालय कहि कतै उल्लेख छैन। आवश्यक अनुगमन गरि कारबााहि गरिदिनुहुन अनुरोध छ।,नगर प्रहरी,genuine
2511,कामपा ९ वडा ज्ञानेश्वरबाट रातोपुल जाने बाटोको फुटपाथमा धेरै वर्ष अगाडी देखि झण्डा झुन्ड्याउन राखेको पिलरहरु रहेको छ । हाल उक्त पोलहरुमा झण्डा राख्ने नगरेपनि पोल चाँहि यथावत छ । पोल हटाइयो भने फुटपाथ फराकिलो भई हामी पैदल यात्रुलाई हिँड्न सहज हुन्थ्यो भन्ने गुनासो आएको छ ।,नगर प्रहरी,genuine
2512,,शिक्षा,genuine
2513,"विषय: आमाको अंश, सम्पति, घर एकलै भोग गर्ने / खान सक्ने तर आफ्नै आमालाई उन्कै घरमा नराख्ने, बस्न न्देको, हेरचाह पालन-पोषण नगर्ने, दुर्व्यवहार गर्ने, दयनीय अवस्थामा अलपत्र छोड्ने र भोकै मार्न खोजेको । कुनै पनि कारबाही नभएको-नगरेको, सम्बन्धित विभागको किन लापरवाही ?
महोदय,
उपरोक्त, सम्बन्धमा, १८ वर्ष देखि कृष्ण कुमारी पुरीको घरजग्गामा कब्जा गरि भोग-चलन गरी रहेको र भाडा खाइराको छ, केशर पुरी र ज्ञानु पुरीले । वडामा गुहार आएको एक वर्षभन्दा बढी बितिसक्दा पनि कुनै पनि ठोस कारबाही, नाप, जाँच, क्षेत्र भ्रमण, निरीक्षण कै काम, कारबाही भएको छैन । वडा प्रतिनिधिलाई जानकारी गराए तापनि चुप लागेर बसेको छ । वार्ड प्रतिनिधि र कार्यालयलाई थाछ यो अन्यको बारे तर कै गरा छैन। किन नगरेको हो? डराएर हो की, माथिबाट दबाब आएर हो ?
मैले लेखा कुरा सत्य हो विश्वास नभै आफै आएर पुष्टि गर्नु। व्यहोरा झुठ्ठा ठहरे कानून बमोजिम सहुला बुझाउँला ।
कृष्ण कुमारी पुरीको अंश भागमा जवरजस्ती कब्जा गरी, घरजग्गा खान सक्नै/भोगचलन गर्न सक्नै तर आफनै आमालाई आफु संग नराख्ने, हेरचाह पनि नगर्ने छोरा केशर पुरी र बुहारी ज्ञानु पुरीलाई, कारबाही गर्नु पर्छ । 
“बुदी आमालाई उनकै घरमा एउटा कोठा पनि दिन नसक्ने ?” 
ज्ञानु पुरी र केशर पुरीले आफनो कर्तव्य, जिम्मेवारी र दायित्व कै गरा छैन । “जेष्ठ नागरिक सम्बन्धी ऐन, २०६३” को उलंघन गरा छन् । 
कृष्ण कुमारी पुरीको बुहारी ज्ञानु पुरी र छोरा केशर पुरीले (फोन नं. 9840600541) आफनै ८७ वर्षको सासु/आमा कृष्ण कुमारी पुरीलाई उनकै घरमा बस्न नदिएको, हेरचाह पालन-पोषण नगरेको, दुर्व्यवहार गरेको र दयनीय अवस्थामा अलपत्र छोडेको छ । 
“ज्ञानु पुरी र केशर पुरीले आफनै आमालाई हेरचाह गर्नु पर्छ भनि घरमा नराखेको सत्य हो र व्यवहारमा पनि देखिन्छ ।”
 ज्ञानु पुरी र केशर पुरीले, कृष्ण कुमारी पुरीको नाममा रहेको का.मा.पा. वडा नं. ११, किता. नं. २५७३ को जग्गा र सो जग्गामा बनेको पक्की घरमा (रातो रंग को घर) जवरजस्ती कब्जा गरेको छन ।  
अदालतमा कुनै पनी मुद्दा छैन; किता नं. २५७३ जग्गा र घरमा तपाईंलाई यो जानकारी गर्दछु ।
•	कसरि ज्ञानु पुरी र केशर पुरीले कब्जा गरेँ कृष्ण कुमारी पुरीको घर-जग्गामा ?
मान्यता नभएको / अमान्य, पुरानो किता-कात अगाडिको नक्सा, कागजहरू देखाउने / पेस गर्ने, सो घरजग्गा मेरो मात्र हो भने, धाक गर्ने गर्छ ज्ञानु पुरी र केशर पुरीले । कृष्ण कुमारी पुरीको सकली सरकारी छाप फायल नक्सा, जग्गा धनी दर्ता प्रमाण-पुर्जा (लाल पुर्जा) र कागजलाई खोसेको छ र लुकाएको छ । अंशबण्डा र जग्गाको किता-कात अगाडिको नक्सा, जग्गाधनी प्रमाण पत्र राखी, सकली हो भनि कृष्ण कुमारी पुरीको घरजग्गामा कब्जा गरेको छ । नवीनतम नक्सा, जग्गाधनी प्रमाण पत्र प्रतिलिपिलाई नकली हो भने, नमान्ने र पालना नगर्ने काम गरेको छ । मुद्दा लडनजा भन छन्।  
""जस्तो छोरा तेस्तै आमा कि जस्तो आमा तेस्तै छोरा ?"" 
कृष्ण कुमारी पुरीलाई आफ्नै घरमा बास बस्न नपाएपछि उनले छिमेकी घरधनी नभाको बेलामा जवरजस्ती छिमेकीको घरको दुईटा (२) कोठामा कब्जा गरेर बास बसीर्हेको छन्, जुन नीतान्तै रुपले गैर कानूनी रहेको छ । छिमेकीको सो कोठा बस्न योग्य छैन । सो २ (दुई) कोठाको अवस्था कमजोर र दयनीय छ (खतरा छ) । मर्मत-सम्भार गर्नु पर्ने अति अब सेक छ । कोठाको गारोबाट कोठामा पानी बग छ, रेलिङ को पोल बाट ढुंगा बाटोमा खस्छ, झ्याल-ढोका घामपानीले गर्दा बिग्रीसको कुइसको, झ्यालको सिसाहरू फुटी सकोछ, ढलान र भिटामा दरार आएको छ, छानाबाट पानी सबै तिर चुहिन्छ, पुरानो कमजोर छाना तेस माथि खियाले गर्दा कोठा भरि पानी चुहिन्छ ।

""भूत घर जस्तो भा छ छिमेकीको घर ।""

आफ्नो घर हुदा-हुदै पनि अर्काको घरको दुईटा (२) कोठा जवरजस्ती कब्जा गरेर बसनु पर्नी , गाली खानु पर्ने,  दर, त्रासमा बस्नु पर्ने भएको छ, कृष्ण कुमारी पुरीलाई । सो कोठा बासको लागि असुरक्षित र अयोग्य छ । ""कुनै नी  बेल घरको छाना खसेर वा पर्खाल ढलेर ठुलो दुर्घटना घटन सक्छ""; कृष्ण कुमारी पुरी घाइते अथवा मर्न पनि सक्छन ।

यहाँ नबस्नु; घर बनाउन दिनु भनि कृष्ण कुमारी पुरीलाई धेरै चोटी अग्रह गरेता पनि नमाने पछि सो घरधनीले बाध्य भएर, इच्छा बिपरित बस्न दिनु परेको छ । ""भोली कै भो भनिको जिम्मेवार हुन् छ ? तो नालायक छोरा वा तो छिमेकी घरधनी ?""
 ""पायो भनि त क्षतिपूर्तिको लागी केशर पुरी र ज्ञानु पुरीले मेरो आमालाई मारो भनि जनमारा आरोप लाऊछ तो छिमेकी घरधनिलाई ।""
•	केशर पुरी र ज्ञानु पुरीले के गरि राको छ कृष्ण कुमारी पुरीको घरजग्गालाई ?
   केशर पुरी र ज्ञानु पुरीले, कृष्ण कुमारी पुरीको घरको सबै तल्ला लाई भाडामा दिइ भाडा भोगचलन गरि रहेको छ र घरबाट आउने आम्दानी पनि कृष्ण कुमारी पुरीलाई देको छैन। कृष्ण कुमारी पुरीलाई आफ्नो दैनिकी उपचार, औषधि, लुगा कपडा, चुलो-गास, खाद्य सामग्री जस्त अति आवश्यक कुराहरु किन, भोग गर्न, प्रयोग गर्न पाएको छैन् । राम्रो खान नखाँको धेरै वर्ष भयो उनीले। बाटोको फोहोर थुप्राएको छ बस्ने कोठामा,  तो फोहोरहरूले तो कोठा बस्न नमिल्ने गरि गनाउँछ, मुसा, साङ्गला  जताततै ढेखिन्छ । कृष्ण कुमारी पुरीले राम्रो लुगा नलाएको धेरै वर्ष भैसको छ । कृष्ण कुमारी पुरीले पुरानो, मैलो, च्यातिएको, फालेको लुगा लाउँछन्। दौरा प्रयोग गरेर छन आगो बल्न छ । ""तीन (३) चोटी त ठुलो आगो लागि भैसकेको छ फोहोर थुप्रारा ठाउँमा ।""

    गाँस, बास र कपास मानिषको नैसर्गिक अधिकार हो तर “कृष्ण कुमारी पुरीको नात आफ्नो घरमा बास छ, ना शरीरमा सफा राम्रो लुगा/कपास, नात मुखमा गाँस छ।” उहाँको आधारभूत मानव अधिकारको अवहेलना र उल्लंघन भएको छ ।

    उनी ८७ वर्षको वृद्ध, बिरामी र अस्वस्थ महिला हुन्। उहाँलाई हेरचाह र माया गर्नु पर्छ । उनलाइ यो उमेरमा एक्लै बस्नु हुँदैन। उनको कुनैनी बेला स्वास्थ्य अबस्था नराम्रो हुन सकेछ र उनलाई अस्पताल लैजानुपर्छ तर कसलाई थाहा हुन्छ र ? एकलै दु:ख पीडामा बस्नु पराछ। हेरचाह गर्ने कोही पनि छैन; नर्स पनि राखन सक्ने क्षमता छैन कृष्ण कुमारी पुरीको। बुहारी ज्ञानु पुरी र छोरा केशर पुरीले नै गर्दैन आफ्नो आमा पति गर्नु पर्ने कर्तब्य हेरचाह र माया । दिन भरि भोकै, बेलका के खान भनि पनि पाका छैन उनको ।

    पटक-पटक, आफन्त, छर-छिमेकीले केशर पुरी र ज्ञानु पुरीलाई अनुरोध गर्दा, समजउदा नी नमानेको, बेवास्ता गरेको र नाटक गर्ने हुँदा; मैले हजुरलाई गुहारेको छl झन्! झुटो, फता कुरा गर्ने, धम्काउने, बादी नबोले भने, झगडा गर्ने, झुटो अरोप लाउने र अनेक तरिकाले दु:ख दिन्छ हामीलाई, केशर पुरी र ज्ञानु पुरीले । 
    
    “कैले मर्ला यो बुडी र कैले सबै बेचेर अमेरिका जाउला भाछ केशर पुरी र ज्ञानु पुरीलाई ।”

     तसर्थ, कृष्ण कुमारी पुरीलाई मर्न छोड्ने छोरा केशर पुरी र बुहारीलाई ज्ञानु पुरीलाई कानून ऐनबमोजिम उप-युत कारबाही गर्नु पर्छ। कृष्ण कुमारी पुरीलाई सम्मान सहित, उनकै नाममा भएको का.मा.पा. वडा नं. ११, को कि. नं. २५७३ को जग्गा र सो जग्गामा बनेको पक्की रातो रंगको घर जुन माइतीघरमा छ त्यहाँ स्थानान्तरण गरिदिई, सुरक्षित बाताबरण मिलाइ, उनलाइ उनको जग्गा र सो जग्गामा बनेको पक्की घर भोगचलन गर्न दिनु पर्छ नेपाल सरकारलेु । उनको स्वास्थ्य, मानसिक अवस्था राम्रो नभयको हुदा उनलाइ अति शीघ्र उद्धार गर्नु पर्छ । उनलाई छिटो नयाँ दिनु पर्छ ।

    नेपाल प्रहरी, काठमाडौँ महानगरपालिका न्यायिक समिति, का.म.पा नगर प्रहरी, मालपोत कार्यालयहरु मिलेर जग्गाको नप, स्थल/क्षेत्र निरीक्षण भ्रमणबाट जाँच गरेर सत्यताको पुस्टि र प्रमाण संकलन गर्ने काम गरि, अतिक्रमण गरा हो कि हैन भनि पुस्टि गर्नु पर्छ ।

    यदि केही गर्न सक्दै नभनि कृष्ण कुमारी पुरीले वृद्धाश्रममा राख्नु पठाऊ, तात २ (दुई) छाक खान पाउ छ, कसैले हेरविचार गर्छ, राम्रो लुगा कपडा लाउन पाउ छन्, उपचार औषधि हुन् छ । “यहाँ किन कुकुर जस्तै बस्न दिनु भाको फोरी माग्ने जस्तै ।

     सम्बन्धित निकायले सक्छ तर गर्दैन कारबाही । किन कि केशर पुरीले पूर्व उप– प्रमुख/मेयर हरि प्रभा खड्गी (श्रेष्ठ), नेपाल प्रहरीको सशस्त्र प्रहरी नायब उपरीक्षक देखी सेवानिवृत्त न्यायाधीश सम्म सबै संग चिनजान छ । एस्तो चिनजान भाको उथने-बस्ने संग कसले झगडा गर्न खोज्छ ? तै भर हो !

     प्रहरी, काठमाडौँ  जिल्ला प्रशासन कार्यालय, वडा नं. ११, काठमाडौँ  महानगरपालिका, राष्ट्रिय मानव अधिकार आयोग, महिला, बालबालिका तथा ज्येष्ठ नागरिक मन्त्रालय सबै ठाउँमा गुहार पुग्दा पनि कै गरेनन । ",नगर प्रहरी,genuine
2514,आनन्द भैरब सानो गौचरणमा एउटा घरले फुटपाथ समेत पर्ने गरि डोरि राखेर घर बनाइरहेको छ जसले गर्दा हिड्नलाइ फुटपाथ नभइ बाटोमा हिड्नु परेको छ। आवश्यक अनुगमन गरि फुटपाथ संरक्षण गरिदिनुहुन अनुरोध छ।,नगर प्रहरी,genuine
2515,Mero ghar ma batti gayo. Generator chalauna aaudaina. Madat chahiyo.,Nagar Prahari,not_genuine
2516,Aakash ma indreni niklenna. Aja indreni nikalidinu paryo.,Environment,not_genuine
2517,नगल सिगलमा एकातिर बाटोको काम भएकाले बाटो बन्द छ भने अर्कोतिर गल्लि जाने बाटो नै बन्द गरि घर बनाउने काम गरिरहेको हुदाँ आवतजावतमा समस्या भयो।बाटो खोलिदिन अनुरोध छ।,नगर प्रहरी,genuine
2518,Mero ghar ko aagadi ko bijuli ko tar le mero sapana bigaryo. Tar lai hataidinu paryo.,Public Infrastructure,not_genuine
2519,Mero jutta ma chikana lagyo. Safa garna madat chahiyo.,Nagar Prahari,not_genuine
2520,My garden hose is leaking. The water is going to waste. Please fix the ozone layer.,Environment,not_genuine
2521,13 नं. वडा वाफल जाने बाटो मा खाल्डा खुल्डी परेको  छ ।,सार्वजनिक निरमाण,genuine
2522,रानिपाेखी गणेश मन्दिर निर एउटा कुकुर धेरै नै बिमारी भएर बसेकाे छ उद्धारकाे लागि अनुराेध छ ,कृषि तथा पशुपंक्षी,genuine
2523,मैजुबहाल गोपिकृष्णबाट बौद्ध जाने मेन रोडको पहिलो घर मै पहिला ३/४ फिटको पेटी थियो।त्यो पनि अधिक्रमण गरि फुटपाथ पसल राखिदियो।यसको व्यवस्थापन गरियोस। बोद्ध टुसालदेखि जोरपाटी जाने पेटी पनि बिग्रिएको छ। पेटि बनाइदिनु पर्यो।,नगर प्रहरी,genuine
2524,My dog thinks he is a police dog. He is trying to arrest the mailman. Please stop him.,Nagar Prahari,not_genuine
2525,The sun is too bright today. Can you dim it down a bit?,Environment,not_genuine
2526,Barsha dherai paryo. Mero ghar ko chhat bata pani churiyo. Chhat lai pakka banaunu paryo.,Environment,not_genuine
2527,"Rati ko 12 bajey paxi pani thulo awaj ma chimeki ko ghar bata halla gareko sambandha ma. Ghar ko kotha sun (gold) banaune byakti haru lai vada ma diyeko ra sohi kaam raati matra thalne hunla asanta vayeko xa. Dherai patak vanda pani ghar dhani aawaj naako dabi garne hunale yaha gunaso rakhiyeko ho. Location: Tebahal-22, opposite to sunrise laxmi bank galli.",नगर प्रहरी,genuine
2528,सोह्रखुट्टे नयाबजार फलफुल चोकमा बिजुलि तथा इन्टरनेटको तार झूण्डिएर हिड्न तथा बाइक चलाउन गाह्रो भयो। आवश्यक कारबाहि गरिदिनुहुन अनुरोध छ।,नगर प्रहरी,genuine
2529,My neighbor's plants are growing too tall. They are blocking my view of the sky.,Environment,not_genuine
2530,आर एन ए सी अगाडी फुटपाथ भत्कायर वनाउने काम भएन धेररै जिर्ण छ ।,सार्वजनिक निरमाण,genuine
2531,वडा न. ०७ गौरिधारा कुमारीगलमा विना नस्सापास सार्वजनिक जग्गामा टहराहरु बनाएको छ । ,नगर प्रहरी,genuine
2532,बौद्ध पानिट्याङ्कि नजिक खानेपानि अफिस अगाडी नया घरले फुटपाथ मिचेर कम्पाउन्ड बनाएको छ साथै फुटपाथको हाइट बढाएर बिच बाटोमा हिड्न पर्ने समस्या भयो। आवश्यक अनुगमन गरि फुटपाथ जोगाइदिनुहुन अनुरोध छ।,नगर प्रहरी,genuine
2533,The clouds are not fluffy enough. Can you make them softer and more artistic?,Environment,not_genuine
2534,"Respected Sir ,
  Hamro woda no 3 , Basundhara chowki ma raheko Nirmala niwas Ghar KO ring road expansion project ma 3 mahina agadi dhal KO pipe futeko thiyo Tara ahile samma Naya dhal KO pipe connection gareko chaina. Ra hamri aagadhi dhal KO Pani jamma bhayera hami lai dherai garo bhako cha. Kripaya yeslai chodo Banda chado Dyan jawos",सार्वजनिक निरमाण,genuine
2535,कान्तपुर स्कुलमा कक्षा ५ मा पढ्ने विध्यार्थि सँग भर्ना शुल्क ४०००० लियाे याे अति नै महङगाे भयाे याे स्कुल सामान्य हाे   महानगरपालिकाले भर्ना शुल्क फ्रि भने पनि प्रत्येक स्कुलले मनलाग्दि तरिकाले पैसा लिएकाे देखिएकाे छ  अनुगमन गर्न जरुरी छ छिटाे अनुगमन गरिदिनुपर्याे । ,शिक्षा,genuine
2536,३२ नं वडा पेश्सीकाेला निवासी महांकटी मन्दिरकाे छेउ नमस्ते टाेलभित्र एउटा नयाँ घर निर्माण भईरहेकाे छ न्युनतम स्पेश नछाेडी झ्याल निकाली घर बनाईरहेकाे छ  ढलानकाे चरणमा पुगिसकेकाे छ यसकाे छिटाे भन्दा छिटाे राेकथाम गरी अनुगमन गरीदिनुहुन अनुराेध छ ।,नगर प्रहरी,genuine
2537,School ma wifi ko speed dherai kam chha. Minecraft chaldaina. Yeslai badaunu paryo.,Education,not_genuine
2538,सडकमा गाडीको हर्नले मेरो मुटु दुख्यो। हर्न बजाउन निषेध गर्नुपर्छ।,Nagar Prahari,not_genuine
2539,कामपा १४ वडा मकालु पेट्रोल पम्प नजिकै टहरामा रहेको पूर्वेली रोदी घरले राति अबेलासम्म होहल्ला गरेर हामी स्थानीयलाई सुत्नै दिएन ।,नगर प्रहरी,genuine
2540,Mero ghar ko aagan ma dhulo dherai aauchha. Dhulo lai rokna paryo.,Environment,not_genuine
2541,Mero chhora le school ma kura bujhena. Teacher lai bujhaune tarika sikaunu paryo.,Education,not_genuine
2542,मेरो गाईले पानी धेरै पिउँछ। यसले गर्दा पानीको बिल धेरै आयो।,Agriculture and Livestock,not_genuine
